Term,Definition,Category,Favorite
Survivorship Life,One policy covering two insureds that pays upon the second death.,Life - Policy Types,
Temporary Transportation Expenses,Pays transportation costs while a covered vehicle is being repaired.,P&C - Auto,
Tender,"An unconditional offer to pay money, perform an obligation, or deliver something that is due.",Legal & Regulatory,
Term Life Insurance,Life insurance that provides protection for a specified period with no cash value.,Life - Policy Types,
Theft,The unlawful taking of property; a broad term that includes robbery and burglary.,P&C - Commercial,
Total Disability,A disability preventing the insured from performing required occupational duties as defined by the policy.,Health - Disability,
Towing and Labor,Optional coverage for towing and roadside labor costs.,P&C - Auto,
Twisting,An illegal practice of inducing a policyowner to replace coverage using misleading comparisons.,Life - California Law,
Umbrella Policy,Liability coverage providing additional limits above underlying policies and potentially broader coverage for certain claims.,P&C - Liability,
Underinsured Motorist (UIM),Provides coverage when the at-fault driver's limits are insufficient.,P&C - Auto,
Underwriting,"The process of evaluating an insurance risk and deciding whether to accept it, under what terms, and at what price.",Insurance - Underwriting,
Uninsured Motorist (UM),Provides coverage when an at-fault driver has no liability insurance.,P&C - Auto,
Universal Life,Flexible-premium permanent life insurance with adjustable death benefits and cash value credited according to policy terms.,Life - Policy Types,
Unoccupancy,"A condition in which a building has contents but no occupants, as defined by the policy.",P&C - Property,
Unstated,Not directly expressed in words; implied or understood rather than explicitly stated.,General Vocabulary,
"Usual, Customary, and Reasonable (UCR) Charges",The amount considered appropriate for a medical service in a geographic area.,Health - Basics,
Utilization Review,Evaluation of the medical necessity and appropriateness of healthcare services.,Health - Medical Plans,
Utmost Good Faith,Both parties are expected to act honestly and disclose all material facts.,P&C - Principles,
Vacancy,"A condition in which a building is substantially empty of both occupants and contents, as defined by the policy.",P&C - Property,
Valued Policy,A policy that pays the agreed value of insured property in the event of a total loss.,P&C - Property,
Variable Annuity,An annuity whose value and payments vary with investment performance.,Life - Annuities,
Variable Life,"Permanent life insurance with fixed premiums and separate-account investments that can cause cash value and death benefits to fluctuate, subject to policy guarantees.",Life - Policy Types,
Variable Universal Life,Flexible-premium permanent life insurance that combines universal-life features with separate-account investment options.,Life - Policy Types,
Viatical Settlement,A transaction in which a life policyowner with a qualifying serious illness sells the policy to a third party for less than the death benefit and more than the policy's cash value.,Life - Policy Provisions,
Vicarious,Experienced indirectly through another person rather than firsthand.,General Vocabulary,
Vicarious Liability,Legal responsibility for another person's acts because of a specific relationship.,P&C - Liability,
Waiting Period,The period before certain benefits become available.,Health - Basics,
Waiver,The voluntary surrender of a known legal right.,P&C - Contracts,
Waiver of Premium Rider,Waives future premiums if the insured becomes totally disabled.,Life - Riders,
Whole Life,"Permanent life insurance with level premiums, guaranteed cash value, and a guaranteed death benefit.",Life - Policy Types,
Workers' Compensation,"Insurance providing statutory medical, wage-replacement, rehabilitation, and death benefits for covered work-related injuries or illnesses.",P&C - Workers' Compensation,
